会話ID,話者ID,話者ラベル,話者ID改,音声ファイル名
C002_006c,C002_003,IC03_美佳,C002_003,C002_006c_IC03.wav
C002_006c,C002_004,IC02_遥,C002_004,C002_006c_IC02.wav
C002_006c,C002_005,N101_水野,C002_005,--
C002_007,C002,IC01_日野,C002_000,C002_007_IC01.wav
C002_007,C002_001,IC02_智也,C002_001,C002_007_IC02.wav
C002_007,C002_002,IC03_正和,C002_002,C002_007_IC03.wav
C002_008,C002,IC01_日野,C002_000,C002_008_IC01.wav
C002_008,C002_002,IC03_正和,C002_002,C002_008_IC03.wav
C002_008,C002_012,Z101_スタッフ,C002_012,--
C002_013a,C002,IC01_日野,C002_000,C002_013a_IC01.wav
C002_013a,C002_006,IC02_しげ子,C002_006,C002_013a_IC02.wav
C002_013b,C002,IC01_日野,C002_000,C002_013b_IC01.wav
C002_013b,C002_006,IC02_しげ子,C002_006,C002_013b_IC02.wav
C002_014a,C002,N10A_日野,C002_000,--
C002_014a,C002_007,N20A_加奈子,C002_007,--
C002_014a,C002_008,IC03_山下,C002_008,C002_014a_IC03.wav
C002_014b,C002,N10A_日野,C002_000,--
C002_014b,C002_007,N20A_加奈子,C002_007,--
C002_014b,C002_008,IC03_山下,C002_008,C002_014b_IC03.wav
C002_015,C002,IC01_日野,C002_000,C002_015_IC01.wav
C002_015,C002_009,IC02_依田,C002_009,C002_015_IC02.wav
C002_015,C002_010,IC03_小島,C002_010,C002_015_IC03.wav
C002_016,C002,IC01_日野,C002_000,C002_016_IC01.wav
C002_016,C002_011,IC02_さくら,C002_011,C002_016_IC02.wav
C002_016,C002_013,Z10B_店員,C002_013,--
K001_003a,K001,IC01_萌,K001_000,K001_003a_IC01.wav
K001_003a,K001_003,IC02_玲奈,K001_003,K001_003a_IC02.wav
K001_003a,K001_004,IC03_佐久,K001_004,K001_003a_IC03.wav
K001_003b,K001,IC01_萌,K001_000,K001_003b_IC01.wav
K001_003b,K001_003,IC02_玲奈,K001_003,K001_003b_IC02.wav
K001_003b,K001_004,IC03_佐久,K001_004,K001_003b_IC03.wav
K001_004,K001,IC01_萌,K001_000,K001_004_IC01.wav
K001_004,K001_005,IC02_綾子,K001_005,K001_004_IC02.wav
K001_008,K001,IC01_萌,K001_000,K001_008_IC01.wav
K001_008,K001_009,IC02_郁,K001_009,K001_008_IC02.wav
K001_009,K001,IC01_萌,K001_000,K001_009_IC01.wav
K001_009,K001_010,IC02_智,K001_010,K001_009_IC02.wav
K001_010,K001,IC01_萌,K001_000,K001_010_IC01.wav
K001_010,K001_011,IC02_愛子,K001_011,K001_010_IC02.wav
K001_011,K001,IC01_萌,K001_000,K001_011_IC01.wav
K001_011,K001_013,IC02_奈津子,K001_013,K001_011_IC02.wav
K001_013,K001,IC01_萌,K001_000,K001_013_IC01.wav
K001_013,K001_004,IC02_佐久,K001_004,K001_013_IC02.wav
K001_013,K001_012,IC03_いっくん,K001_012,K001_013_IC03.wav
K001_013,K001_025,Z10A_店員,K001_025,--
K001_014,K001,IC01_萌,K001_000,K001_014_IC01.wav
K001_014,K001_013,IC02_奈津子,K001_013,K001_014_IC02.wav
K001_014,K001_026,Z101_店員,K001_026,--
K001_016,K001,IC01_萌,K001_000,K001_016_IC01.wav
K001_016,K001_014,IC02_中根,K001_014,K001_016_IC02.wav
K001_016,K001_015,IC04_舞,K001_015,K001_016_IC04.wav
K001_016,K001_016,IC03_健,K001_016,K001_016_IC03.wav
K001_016,K001_017,N104_沙知,K001_017,--
K001_017,K001,IC01_萌,K001_000,K001_017_IC01.wav
K001_017,K001_018,IC02_歩,K001_018,K001_017_IC02.wav
K001_017,K001_027,Z10A_店員,K001_027,--
K001_019,K001,IC01_萌,K001_000,K001_019_IC01.wav
K001_019,K001_021,IC02_千佳,K001_021,K001_019_IC02.wav
K002_003a,K002,IC01_杉田,K002_000,K002_003a_IC01.wav
K002_003a,K002_004,IC02_中沢,K002_004,K002_003a_IC02.wav
K002_003b,K002,IC01_杉田,K002_000,K002_003b_IC01.wav
K002_003b,K002_002,N10A_ケンチャン,K002_002,--
K002_003b,K002_003,N20A_沙織,K002_003,--
K002_003b,K002_004,IC02_中沢,K002_004,K002_003b_IC02.wav
K002_004,K002,IC01_杉田,K002_000,K002_004_IC01.wav
K002_004,K002_005,IC02_川内,K002_005,K002_004_IC02.wav
K002_004,K002_019,Z101_取引先,K002_019,--
K002_004,K002_021,Z201_よっしー,K002_021,--
K002_007,K002,IC01_杉田,K002_000,K002_007_IC01.wav
K002_007,K002_003,IC02_沙織,K002_003,K002_007_IC02.wav
K002_010,K002,IC01_杉田,K002_000,K002_010_IC01.wav
K002_010,K002_009,IC02_優子,K002_009,K002_010_IC02.wav
K002_010,K002_017,Z10B_店員,K002_017,--
K002_012,K002,IC01_杉田,K002_000,K002_012_IC01.wav
K002_012,K002_008,N101_朔也,K002_008,--
K002_012,K002_011,IC02_咲子,K002_011,K002_012_IC02.wav
K002_014,K002,IC01_杉田,K002_000,K002_014_IC01.wav
K002_014,K002_008,IC03_朔也,K002_008,K002_014_IC03.wav
K002_014,K002_015,IC02_夫,K002_015,K002_014_IC02.wav
K002_014,K002_020,Z101_スタッフ,K002_020,--
K002_015,K002,IC01_杉田,K002_000,K002_015_IC01.wav
K002_015,K002_007,N10A_三上,K002_007,--
K002_015,K002_008,IC02_朔也,K002_008,K002_015_IC02.wav
K002_015,K002_015,IC03_夫,K002_015,K002_015_IC03.wav
K002_016,K002,IC01_杉田,K002_000,K002_016_IC01.wav
K002_016,K002_007,IC02_三上,K002_007,K002_016_IC02.wav
K002_017,K002,IC01_杉田,K002_000,K002_017_IC01.wav
K002_017,K002_003,IC02_沙織,K002_003,K002_017_IC02.wav
K002_017,K002_008,IC03_朔也,K002_008,K002_017_IC03.wav
K002_018,K002,IC01_杉田,K002_000,K002_018_IC01.wav
K002_018,K002_006,IC03_はるか,K002_006,K002_018_IC03.wav
K002_018,K002_007,IC04_三上,K002_007,K002_018_IC04.wav
K002_018,K002_016,IC02_美鈴,K002_016,K002_018_IC02.wav
K002_018,K002_018,Z10A_店員,K002_018,--
K003_002a,K003,IC01_詩織,K003_000,K003_002a_IC01.wav
K003_002a,K003_001,IC02_春菜,K003_001,K003_002a_IC02.wav
K003_002b,K003,IC01_詩織,K003_000,K003_002b_IC01.wav
K003_002b,K003_001,IC02_春菜,K003_001,K003_002b_IC02.wav
K003_002c,K003,IC01_詩織,K003_000,K003_002c_IC01.wav
K003_002c,K003_001,IC02_春菜,K003_001,K003_002c_IC02.wav
K003_002d,K003,IC01_詩織,K003_000,K003_002d_IC01.wav
K003_002d,K003_001,IC02_春菜,K003_001,K003_002d_IC02.wav
K003_003,K003,IC01_詩織,K003_000,K003_003_IC01.wav
K003_003,K003_003,IC02_母,K003_003,K003_003_IC02.wav
K003_005,K003,IC01_詩織,K003_000,K003_005_IC01.wav
K003_005,K003_004,IC02_あかり,K003_004,K003_005_IC02.wav
K003_006,K003,IC03_詩織,K003_000,K003_006_IC03.wav
K003_006,K003_005,IC02_由佳,K003_005,K003_006_IC02.wav
K003_008,K003,IC03_詩織,K003_000,K003_008_IC03.wav
K003_008,K003_006,IC02_ゆう,K003_006,K003_008_IC02.wav
K003_012a,K003,IC03_詩織,K003_000,K003_012a_IC03.wav
K003_012a,K003_008,IC02_さっちー,K003_008,K003_012a_IC02.wav
K003_012a,K003_011,Z103_店員,K003_011,--
K003_012b,K003,IC03_詩織,K003_000,K003_012b_IC03.wav
K003_012b,K003_008,IC02_さっちー,K003_008,K003_012b_IC02.wav
K003_012b,K003_012,Z102_店員,K003_012,--
K003_013a,K003,IC03_詩織,K003_000,K003_013a_IC03.wav
K003_013a,K003_003,IC02_母,K003_003,K003_013a_IC02.wav
K003_013a,K003_007,IC04_父,K003_007,K003_013a_IC04.wav
K003_013b,K003,IC03_詩織,K003_000,K003_013b_IC03.wav
K003_013b,K003_003,IC02_母,K003_003,K003_013b_IC02.wav
K003_013b,K003_007,IC04_父,K003_007,K003_013b_IC04.wav
K003_014,K003,IC03_詩織,K003_000,K003_014_IC03.wav
K003_014,K003_003,IC02_母,K003_003,K003_014_IC02.wav
K003_014,K003_007,IC04_父,K003_007,K003_014_IC04.wav
K003_017,K003,IC03_詩織,K003_000,K003_017_IC03.wav
K003_017,K003_005,IC02_由佳,K003_005,K003_017_IC02.wav
K004_001,K004,IC01_島村,K004_000,K004_001_IC01.wav
K004_001,K004_005,IC02_母,K004_005,K004_001_IC02.wav
K004_005,K004,N10B_島村,K004_000,--
K004_005,K004_006,IC05_小島,K004_006,K004_005_IC05.wav
K004_005,K004_024,N20B_翔,K004_024,--
K004_005,K004_025,N30B_環奈,K004_025,--
K004_007,K004,IC01_島村,K004_000,K004_007_IC01.wav
K004_007,K004_003,IC04_聡太郎,K004_003,K004_007_IC04.wav
K004_008,K004,IC01_島村,K004_000,K004_008_IC01.wav
K004_008,K004_007,IC05_すみれ,K004_007,K004_008_IC05.wav
K004_008,K004_008,IC06_はるな,K004_008,K004_008_IC06.wav
K004_010,K004,IC01_島村,K004_000,K004_010_IC01.wav
K004_010,K004_009,IC02_歯科医,K004_009,K004_010_IC02.wav
K004_010,K004_010,IC03_助手,K004_010,K004_010_IC03.wav
K004_011,K004,IC01_島村,K004_000,K004_011_IC01.wav
K004_011,K004_001,IC02_謙三郎,K004_001,K004_011_IC02.wav
K004_012,K004,IC01_島村,K004_000,K004_012_IC01.wav
K004_012,K004_011,IC02_長門,K004_011,K004_012_IC02.wav
K004_012,K004_012,IC03_木場,K004_012,K004_012_IC03.wav
K004_012,K004_013,IC04_恩田,K004_013,K004_012_IC04.wav
K004_012,K004_014,IC06_磯村,K004_014,K004_012_IC06.wav
K004_013,K004,IC01_島村,K004_000,K004_013_IC01.wav
K004_013,K004_015,N10A_長尾,K004_015,--
K004_013,K004_016,IC02_佐和,K004_016,K004_013_IC02.wav
K004_013,K004_017,IC04_米山,K004_017,K004_013_IC04.wav
K004_013,K004_018,IC03_篠崎,K004_018,K004_013_IC03.wav
K004_015,K004,IC01_島村,K004_000,K004_015_IC01.wav
K004_015,K004_020,IC03_美穂,K004_020,K004_015_IC03.wav
K004_015,K004_021,N10A_涼,K004_021,--
K004_015,K004_022,N20A_真紀,K004_022,--
K004_015,K004_026,Z10A_店員,K004_026,--
K004_017,K004,IC01_島村,K004_000,K004_017_IC01.wav
K004_017,K004_001,IC03_謙三郎,K004_001,K004_017_IC03.wav
K004_017,K004_002,IC04_悠次郎,K004_002,K004_017_IC04.wav
K004_017,K004_003,IC02_聡太郎,K004_003,K004_017_IC02.wav
K004_020,K004,IC01_島村,K004_000,K004_020_IC01.wav
K004_020,K004_001,IC02_謙三郎,K004_001,K004_020_IC02.wav
K004_020,K004_002,IC03_悠次郎,K004_002,K004_020_IC03.wav
K004_020,K004_003,IC04_聡太郎,K004_003,K004_020_IC04.wav
K004_022,K004,IC01_島村,K004_000,K004_022_IC01.wav
K004_022,K004_003,IC02_聡太郎,K004_003,K004_022_IC02.wav
K004_022,K004_004,IC04_智明,K004_004,K004_022_IC04.wav
K004_022,K004_023,IC03_紀子,K004_023,K004_022_IC03.wav
K005_001,K005,IC03_昌美,K005_000,K005_001_IC03.wav
K005_001,K005_001,IC01_辰雄,K005_001,K005_001_IC01.wav
K005_001,K005_002,IC02_和代,K005_002,K005_001_IC02.wav
K005_002,K005,IC01_昌美,K005_000,K005_002_IC01.wav
K005_002,K005_003,IC02_義則,K005_003,K005_002_IC02.wav
K005_003,K005,IC01_昌美,K005_000,K005_003_IC01.wav
K005_003,K005_001,IC04_辰雄,K005_001,K005_003_IC04.wav
K005_003,K005_002,IC02_和代,K005_002,K005_003_IC02.wav
K005_003,K005_004,IC03_哲也,K005_004,K005_003_IC03.wav
K005_005,K005,IC01_昌美,K005_000,K005_005_IC01.wav
K005_005,K005_006,IC02_律子,K005_006,K005_005_IC02.wav
K005_006,K005,IC01_昌美,K005_000,K005_006_IC01.wav
K005_006,K005_012,IC02_房,K005_012,K005_006_IC02.wav
K005_012,K005,IC06_昌美,K005_000,K005_012_IC06.wav
K005_012,K005_001,IC04_辰雄,K005_001,K005_012_IC04.wav
K005_012,K005_002,IC03_和代,K005_002,K005_012_IC03.wav
K005_012,K005_012,IC05_房,K005_012,K005_012_IC05.wav
K005_016,K005,IC03_昌美,K005_000,K005_016_IC03.wav
K005_016,K005_008,IC05_若菜,K005_008,K005_016_IC05.wav
K005_019a,K005,IC03_昌美,K005_000,K005_019a_IC03.wav
K005_019a,K005_004,IC05_哲也,K005_004,K005_019a_IC05.wav
K005_019b,K005,IC03_昌美,K005_000,K005_019b_IC03.wav
K005_019b,K005_004,IC05_哲也,K005_004,K005_019b_IC05.wav
K005_020,K005,IC03_昌美,K005_000,K005_020_IC03.wav
K005_020,K005_001,IC05_辰雄,K005_001,K005_020_IC05.wav
K005_021a,K005,N10A_昌美,K005_000,--
K005_021a,K005_010,IC05_理恵子,K005_010,K005_021a_IC05.wav
K005_021a,K005_011,N20A_矢恵,K005_011,--
K005_021a,K005_016,N30A_敦志,K005_016,--
K005_021a,K005_017,Z40A_友人の夫,K005_017,--
K005_021b,K005,N10A_昌美,K005_000,--
K005_021b,K005_010,IC05_理恵子,K005_010,K005_021b_IC05.wav
K005_021b,K005_011,N20A_矢恵,K005_011,--
K005_021b,K005_016,N30A_敦志,K005_016,--
K005_024,K005,N20A_昌美,K005_000,--
K005_024,K005_001,N30A_辰雄,K005_001,--
K005_024,K005_002,N10A_和代,K005_002,--
K005_027,K005,IC06_昌美,K005_000,K005_027_IC06.wav
K005_027,K005_013,N10A_美穂,K005_013,--
K005_027,K005_014,IC04_折井,K005_014,K005_027_IC04.wav
K005_028,K005,IC06_昌美,K005_000,K005_028_IC06.wav
K005_028,K005_015,IC04_礼司,K005_015,K005_028_IC04.wav
K005_031,K005,IC06_昌美,K005_000,K005_031_IC06.wav
K005_031,K005_006,IC03_律子,K005_006,K005_031_IC03.wav
K005_033,K005,IC06_昌美,K005_000,K005_033_IC06.wav
K005_033,K005_015,IC05_礼司,K005_015,K005_033_IC05.wav
K006_002a,K006,IC01_広子,K006_000,K006_002a_IC01.wav
K006_002a,K006_001,IC02_軽部,K006_001,K006_002a_IC02.wav
K006_002b,K006,IC01_広子,K006_000,K006_002b_IC01.wav
K006_002b,K006_001,IC02_軽部,K006_001,K006_002b_IC02.wav
K006_003a,K006,IC01_広子,K006_000,K006_003a_IC01.wav
K006_003a,K006_001,IC02_軽部,K006_001,K006_003a_IC02.wav
K006_003b,K006,IC01_広子,K006_000,K006_003b_IC01.wav
K006_003b,K006_001,IC02_軽部,K006_001,K006_003b_IC02.wav
K006_006,K006,IC01_広子,K006_000,K006_006_IC01.wav
K006_006,K006_001,IC02_軽部,K006_001,K006_006_IC02.wav
K006_009,K006,IC02_広子,K006_000,K006_009_IC02.wav
K006_009,K006_007,IC01_安村,K006_007,K006_009_IC01.wav
K006_011,K006,IC01_広子,K006_000,K006_011_IC01.wav
K006_011,K006_008,IC02_千早,K006_008,K006_011_IC02.wav
K006_011,K006_021,Z10A_客,K006_021,--
K006_013,K006,IC01_広子,K006_000,K006_013_IC01.wav
K006_013,K006_001,IC02_軽部,K006_001,K006_013_IC02.wav
K006_016,K006,IC01_広子,K006_000,K006_016_IC01.wav
K006_016,K006_013,IC02_美代子,K006_013,K006_016_IC02.wav
K006_017,K006,IC01_広子,K006_000,K006_017_IC01.wav
K006_017,K006_009,IC03_矢沢,K006_009,K006_017_IC03.wav
K006_017,K006_014,IC02_小林,K006_014,K006_017_IC02.wav
K006_018,K006,IC01_広子,K006_000,K006_018_IC01.wav
K006_018,K006_012,IC02_大杉,K006_012,K006_018_IC02.wav
K006_020,K006,IC01_広子,K006_000,K006_020_IC01.wav
K006_020,K006_016,IC02_静香,K006_016,K006_020_IC02.wav
K006_021,K006,IC01_広子,K006_000,K006_021_IC01.wav
K006_021,K006_001,IC02_軽部,K006_001,K006_021_IC02.wav
K006_021,K006_017,IC03_夏目,K006_017,K006_021_IC03.wav
K006_023,K006,IC01_広子,K006_000,K006_023_IC01.wav
K006_023,K006_018,IC02_名取,K006_018,K006_023_IC02.wav
K007_001,K007,IC01_湯本,K007_000,K007_001_IC01.wav
K007_001,K007_001,IC02_岩城,K007_001,K007_001_IC02.wav
K007_003,K007,IC01_湯本,K007_000,K007_003_IC01.wav
K007_003,K007_003,N10A_花梨,K007_003,--
K007_005,K007,IC01_湯本,K007_000,K007_005_IC01.wav
K007_005,K007_004,IC02_三崎,K007_004,K007_005_IC02.wav
K007_006,K007,IC01_湯本,K007_000,K007_006_IC01.wav
K007_006,K007_003,IC02_花梨,K007_003,K007_006_IC02.wav
K007_007,K007,IC01_湯本,K007_000,K007_007_IC01.wav
K007_007,K007_004,IC02_三崎,K007_004,K007_007_IC02.wav
K007_008,K007,IC01_湯本,K007_000,K007_008_IC01.wav
K007_008,K007_003,N10A_花梨,K007_003,--
K007_008,K007_005,IC02_白石,K007_005,K007_008_IC02.wav
K007_013,K007,IC01_湯本,K007_000,K007_013_IC01.wav
K007_013,K007_003,IC02_花梨,K007_003,K007_013_IC02.wav
K007_014,K007,IC01_湯本,K007_000,K007_014_IC01.wav
K007_014,K007_003,IC02_花梨,K007_003,K007_014_IC02.wav
K007_015,K007,IC01_湯本,K007_000,K007_015_IC01.wav
K007_015,K007_003,IC02_花梨,K007_003,K007_015_IC02.wav
K007_016,K007,IC01_湯本,K007_000,K007_016_IC01.wav
K007_016,K007_006,IC02_笹川,K007_006,K007_016_IC02.wav
K007_016,K007_013,Z101_学生,K007_013,--
K007_017,K007,IC01_湯本,K007_000,K007_017_IC01.wav
K007_017,K007_003,IC02_花梨,K007_003,K007_017_IC02.wav
K007_018,K007,IC01_湯本,K007_000,K007_018_IC01.wav
K007_018,K007_004,IC02_三崎,K007_004,K007_018_IC02.wav
K007_018,K007_006,IC06_笹川,K007_006,K007_018_IC06.wav
K007_018,K007_007,IC04_相原,K007_007,K007_018_IC04.wav
K007_018,K007_008,N10A_樋口,K007_008,--
K007_018,K007_009,IC03_佐伯,K007_009,K007_018_IC03.wav
K007_018,K007_010,IC05_蓮,K007_010,K007_018_IC05.wav
K007_019,K007,IC01_湯本,K007_000,K007_019_IC01.wav
K007_019,K007_004,IC02_三崎,K007_004,K007_019_IC02.wav
K007_019,K007_007,IC03_相原,K007_007,K007_019_IC03.wav
K007_020,K007,IC01_湯本,K007_000,K007_020_IC01.wav
K007_020,K007_011,IC02_土屋,K007_011,K007_020_IC02.wav
K008_001a,K008,IC03_久美,K008_000,K008_001a_IC03.wav
K008_001a,K008_001,IC01_深石,K008_001,K008_001a_IC01.wav
K008_001a,K008_002,IC02_鶴賀,K008_002,K008_001a_IC02.wav
K008_001b,K008,IC03_久美,K008_000,K008_001b_IC03.wav
K008_001b,K008_001,IC01_深石,K008_001,K008_001b_IC01.wav
K008_001b,K008_002,IC02_鶴賀,K008_002,K008_001b_IC02.wav
K008_002,K008,IC01_久美,K008_000,K008_002_IC01.wav
K008_002,K008_003,N10A_義母,K008_003,--
K008_003,K008,IC01_久美,K008_000,K008_003_IC01.wav
K008_003,K008_004,IC02_和則,K008_004,K008_003_IC02.wav
K008_004a,K008,IC01_久美,K008_000,K008_004a_IC01.wav
K008_004a,K008_005,IC02_栗木,K008_005,K008_004a_IC02.wav
K008_004b,K008,IC01_久美,K008_000,K008_004b_IC01.wav
K008_004b,K008_005,IC02_栗木,K008_005,K008_004b_IC02.wav
K008_004b,K008_019,Z10A_業者,K008_019,--
K008_004b,K008_020,Z20A_業者,K008_020,--
K008_005,K008,IC01_久美,K008_000,K008_005_IC01.wav
K008_005,K008_006,IC02_母,K008_006,K008_005_IC02.wav
K008_005,K008_007,N101_父,K008_007,--
K008_010,K008,IC01_久美,K008_000,K008_010_IC01.wav
K008_010,K008_011,IC02_美和子,K008_011,K008_010_IC02.wav
K008_010,K008_022,Z10A_店員,K008_022,--
K008_013,K008,IC01_久美,K008_000,K008_013_IC01.wav
K008_013,K008_004,IC02_和則,K008_004,K008_013_IC02.wav
K008_013,K008_021,Z102_スタッフ,K008_021,--
K008_015,K008,IC01_久美,K008_000,K008_015_IC01.wav
K008_015,K008_013,IC02_道枝,K008_013,K008_015_IC02.wav
K008_015,K008_023,Z101_店員,K008_023,--
K008_015,K008_024,Z201_店員,K008_024,--
K008_016,K008,IC01_久美,K008_000,K008_016_IC01.wav
K008_016,K008_014,IC02_理代子,K008_014,K008_016_IC02.wav
K008_016,K008_025,Z10A_店員,K008_025,--
K008_019,K008,IC01_久美,K008_000,K008_019_IC01.wav
K008_019,K008_004,IC04_和則,K008_004,K008_019_IC04.wav
K008_019,K008_006,IC03_母,K008_006,K008_019_IC03.wav
K008_019,K008_007,IC02_父,K008_007,K008_019_IC02.wav
K009_002,K009,IC01_美乃梨,K009_000,K009_002_IC01.wav
K009_002,K009_005,IC02_登美男,K009_005,K009_002_IC02.wav
K009_002,K009_006,IC03_紀世子,K009_006,K009_002_IC03.wav
K009_003,K009,IC01_美乃梨,K009_000,K009_003_IC01.wav
K009_003,K009_005,IC02_登美男,K009_005,K009_003_IC02.wav
K009_003,K009_006,IC03_紀世子,K009_006,K009_003_IC03.wav
K009_006,K009,IC01_美乃梨,K009_000,K009_006_IC01.wav
K009_006,K009_006,IC02_紀世子,K009_006,K009_006_IC02.wav
K009_006,K009_012,IC05_治和,K009_012,K009_006_IC05.wav
K009_006,K009_013,IC03_トシ子,K009_013,K009_006_IC03.wav
K009_006,K009_014,IC04_他吉,K009_014,K009_006_IC04.wav
K009_007,K009,IC01_美乃梨,K009_000,K009_007_IC01.wav
K009_007,K009_015,IC02_尚美,K009_015,K009_007_IC02.wav
K009_008,K009,IC01_美乃梨,K009_000,K009_008_IC01.wav
K009_008,K009_005,IC02_登美男,K009_005,K009_008_IC02.wav
K009_008,K009_006,IC03_紀世子,K009_006,K009_008_IC03.wav
K009_009a,K009,IC01_美乃梨,K009_000,K009_009a_IC01.wav
K009_009a,K009_016,IC03_山中,K009_016,K009_009a_IC03.wav
K009_009a,K009_017,IC02_江袋,K009_017,K009_009a_IC02.wav
K009_009a,K009_018,IC04_田本,K009_018,K009_009a_IC04.wav
K009_009a,K009_019,IC05_今瀬,K009_019,K009_009a_IC05.wav
K009_009b,K009,IC01_美乃梨,K009_000,K009_009b_IC01.wav
K009_009b,K009_016,IC03_山中,K009_016,K009_009b_IC03.wav
K009_009b,K009_017,IC02_江袋,K009_017,K009_009b_IC02.wav
K009_009b,K009_018,IC04_田本,K009_018,K009_009b_IC04.wav
K009_009b,K009_019,IC05_今瀬,K009_019,K009_009b_IC05.wav
K009_009b,K009_025,N30A_岩瀬,K009_025,--
K009_009b,K009_030,N20A_井ノ部,K009_030,--
K009_009b,K009_032,N101_郷田,K009_032,--
K009_010,K009,IC01_美乃梨,K009_000,K009_010_IC01.wav
K009_010,K009_001,IC02_会沢,K009_001,K009_010_IC02.wav
K009_010,K009_007,IC03_加藤,K009_007,K009_010_IC03.wav
K009_011,K009,IC01_美乃梨,K009_000,K009_011_IC01.wav
K009_011,K009_006,IC02_紀世子,K009_006,K009_011_IC02.wav
K009_011,K009_013,IC03_トシ子,K009_013,K009_011_IC03.wav
K009_011,K009_014,IC04_他吉,K009_014,K009_011_IC04.wav
K009_012,K009,IC01_美乃梨,K009_000,K009_012_IC01.wav
K009_012,K009_006,IC02_紀世子,K009_006,K009_012_IC02.wav
K009_012,K009_020,IC03_キミ子,K009_020,K009_012_IC03.wav
K009_012,K009_021,IC04_雅代,K009_021,K009_012_IC04.wav
K009_014,K009,IC01_美乃梨,K009_000,K009_014_IC01.wav
K009_014,K009_001,IC03_会沢,K009_001,K009_014_IC03.wav
K009_014,K009_004,IC02_神田,K009_004,K009_014_IC02.wav
K009_015,K009,IC01_美乃梨,K009_000,K009_015_IC01.wav
K009_015,K009_016,N10A_山中,K009_016,--
K009_015,K009_017,IC02_江袋,K009_017,K009_015_IC02.wav
K009_015,K009_023,IC03_友澤,K009_023,K009_015_IC03.wav
K009_015,K009_024,IC05_奥島,K009_024,K009_015_IC05.wav
K009_015,K009_025,IC06_岩瀬,K009_025,K009_015_IC06.wav
K009_016a,K009,IC01_美乃梨,K009_000,K009_016a_IC01.wav
K009_016a,K009_006,IC02_紀世子,K009_006,K009_016a_IC02.wav
K009_016a,K009_026,IC03_つや子,K009_026,K009_016a_IC03.wav
K009_016a,K009_027,IC04_八重子,K009_027,K009_016a_IC04.wav
K009_016b,K009,IC01_美乃梨,K009_000,K009_016b_IC01.wav
K009_016b,K009_006,IC02_紀世子,K009_006,K009_016b_IC02.wav
K009_016b,K009_026,IC03_つや子,K009_026,K009_016b_IC03.wav
K009_016b,K009_027,IC04_八重子,K009_027,K009_016b_IC04.wav
K009_019,K009,IC01_美乃梨,K009_000,K009_019_IC01.wav
K009_019,K009_001,IC06_会沢,K009_001,K009_019_IC06.wav
K009_019,K009_017,IC02_江袋,K009_017,K009_019_IC02.wav
K009_019,K009_018,IC04_田本,K009_018,K009_019_IC04.wav
K009_019,K009_023,IC03_友澤,K009_023,K009_019_IC03.wav
